refDate,group,priceIndex,volumeIndex,target_h3,target_h12,naiveForecast_h3,naiveForecast_h12,seasonalNaiveForecast_h3,seasonalNaiveForecast_h12
2017-01-01,Agriculture,93.0,97.5,77.7,105.4,97.5,97.5,,97.5
2017-02-01,Agriculture,106.5,90.6,91.0,110.1,90.6,90.6,,90.6
2017-03-01,Agriculture,105.0,94.5,102.3,104.6,94.5,94.5,,94.5
2017-04-01,Agriculture,134.0,77.7,109.0,106.3,77.7,77.7,,77.7
2017-05-01,Agriculture,113.9,91.0,110.2,105.9,91.0,91.0,,91.0
2017-06-01,Agriculture,102.4,102.3,103.2,112.4,102.3,102.3,,102.3
2017-07-01,Agriculture,94.3,109.0,105.7,111.6,109.0,109.0,,109.0
2017-08-01,Agriculture,93.5,110.2,109.6,103.4,110.2,110.2,,110.2
2017-09-01,Agriculture,94.8,103.2,108.7,110.2,103.2,103.2,,103.2
2017-10-01,Agriculture,94.1,105.7,105.4,123.1,105.7,105.7,97.5,105.7
2017-11-01,Agriculture,91.5,109.6,110.1,111.8,109.6,109.6,90.6,109.6
2017-12-01,Agriculture,89.9,108.7,104.6,98.8,108.7,108.7,94.5,108.7
2018-01-01,Agriculture,93.7,105.4,106.3,106.5,105.4,105.4,77.7,105.4
2018-02-01,Agriculture,87.9,110.1,105.9,99.2,110.1,110.1,91.0,110.1
2018-03-01,Agriculture,94.1,104.6,112.4,107.6,104.6,104.6,102.3,104.6
2018-04-01,Agriculture,91.1,106.3,111.6,112.1,106.3,106.3,109.0,106.3
2018-05-01,Agriculture,91.6,105.9,103.4,104.5,105.9,105.9,110.2,105.9
2018-06-01,Agriculture,89.7,112.4,110.2,99.2,112.4,112.4,103.2,112.4
2018-07-01,Agriculture,91.5,111.6,123.1,95.6,111.6,111.6,105.7,111.6
2018-08-01,Agriculture,96.4,103.4,111.8,111.8,103.4,103.4,109.6,103.4
2018-09-01,Agriculture,92.7,110.2,98.8,108.2,110.2,110.2,108.7,110.2
2018-10-01,Agriculture,81.6,123.1,106.5,97.5,123.1,123.1,105.4,123.1
2018-11-01,Agriculture,92.0,111.8,99.2,100.1,111.8,111.8,110.1,111.8
2018-12-01,Agriculture,110.6,98.8,107.6,109.2,98.8,98.8,104.6,98.8
2019-01-01,Agriculture,98.2,106.5,112.1,99.5,106.5,106.5,106.3,106.5
2019-02-01,Agriculture,102.0,99.2,104.5,107.6,99.2,99.2,105.9,99.2
2019-03-01,Agriculture,101.2,107.6,99.2,121.6,107.6,107.6,112.4,107.6
2019-04-01,Agriculture,98.1,112.1,95.6,93.3,112.1,112.1,111.6,112.1
2019-05-01,Agriculture,98.8,104.5,111.8,109.4,104.5,104.5,103.4,104.5
2019-06-01,Agriculture,107.9,99.2,108.2,103.4,99.2,99.2,110.2,99.2
2019-07-01,Agriculture,112.5,95.6,97.5,115.2,95.6,95.6,123.1,95.6
2019-08-01,Agriculture,98.9,111.8,100.1,111.3,111.8,111.8,111.8,111.8
2019-09-01,Agriculture,96.9,108.2,109.2,106.6,108.2,108.2,98.8,108.2
2019-10-01,Agriculture,104.7,97.5,99.5,114.0,97.5,97.5,106.5,97.5
2019-11-01,Agriculture,103.6,100.1,107.6,122.2,100.1,100.1,99.2,100.1
2019-12-01,Agriculture,96.4,109.2,121.6,117.5,109.2,109.2,107.6,109.2
2020-01-01,Agriculture,108.3,99.5,93.3,127.7,99.5,99.5,112.1,99.5
2020-02-01,Agriculture,98.4,107.6,109.4,121.3,107.6,107.6,104.5,107.6
2020-03-01,Agriculture,98.3,121.6,103.4,128.1,121.6,121.6,99.2,121.6
2020-04-01,Agriculture,106.2,93.3,115.2,121.2,93.3,93.3,95.6,93.3
2020-05-01,Agriculture,99.4,109.4,111.3,119.0,109.4,109.4,111.8,109.4
2020-06-01,Agriculture,103.8,103.4,106.6,114.3,103.4,103.4,108.2,103.4
2020-07-01,Agriculture,99.1,115.2,114.0,118.4,115.2,115.2,97.5,115.2
2020-08-01,Agriculture,100.7,111.3,122.2,112.4,111.3,111.3,100.1,111.3
2020-09-01,Agriculture,101.6,106.6,117.5,115.0,106.6,106.6,109.2,106.6
2020-10-01,Agriculture,98.0,114.0,127.7,125.0,114.0,114.0,99.5,114.0
2020-11-01,Agriculture,90.6,122.2,121.3,121.3,122.2,122.2,107.6,122.2
2020-12-01,Agriculture,85.4,117.5,128.1,119.4,117.5,117.5,121.6,117.5
2021-01-01,Agriculture,82.5,127.7,121.2,114.3,127.7,127.7,93.3,127.7
2021-02-01,Agriculture,89.9,121.3,119.0,127.1,121.3,121.3,109.4,121.3
2021-03-01,Agriculture,84.5,128.1,114.3,109.6,128.1,128.1,103.4,128.1
2021-04-01,Agriculture,88.1,121.2,118.4,123.5,121.2,121.2,115.2,121.2
2021-05-01,Agriculture,91.1,119.0,112.4,108.6,119.0,119.0,111.3,119.0
2021-06-01,Agriculture,93.8,114.3,115.0,118.3,114.3,114.3,106.6,114.3
2021-07-01,Agriculture,89.1,118.4,125.0,115.6,118.4,118.4,114.0,118.4
2021-08-01,Agriculture,95.9,112.4,121.3,116.7,112.4,112.4,122.2,112.4
2021-09-01,Agriculture,97.3,115.0,119.4,109.6,115.0,115.0,117.5,115.0
2021-10-01,Agriculture,91.9,125.0,114.3,105.5,125.0,125.0,127.7,125.0
2021-11-01,Agriculture,93.0,121.3,127.1,88.0,121.3,121.3,121.3,121.3
2021-12-01,Agriculture,93.8,119.4,109.6,93.6,119.4,119.4,128.1,119.4
2022-01-01,Agriculture,96.4,114.3,123.5,136.6,114.3,114.3,121.2,114.3
2022-02-01,Agriculture,90.6,127.1,108.6,101.5,127.1,127.1,119.0,127.1
