refDate,group,priceIndex,volumeIndex,year,month,monthName
2017-01-01,Agriculture,93.0,97.5,2017,1,Jan
2017-02-01,Agriculture,106.5,90.6,2017,2,Feb
2017-03-01,Agriculture,105.0,94.5,2017,3,Mar
2017-04-01,Agriculture,134.0,77.7,2017,4,Apr
2017-05-01,Agriculture,113.9,91.0,2017,5,May
2017-06-01,Agriculture,102.4,102.3,2017,6,Jun
2017-07-01,Agriculture,94.3,109.0,2017,7,Jul
2017-08-01,Agriculture,93.5,110.2,2017,8,Aug
2017-09-01,Agriculture,94.8,103.2,2017,9,Sep
2017-10-01,Agriculture,94.1,105.7,2017,10,Oct
2017-11-01,Agriculture,91.5,109.6,2017,11,Nov
2017-12-01,Agriculture,89.9,108.7,2017,12,Dec
2018-01-01,Agriculture,93.7,105.4,2018,1,Jan
2018-02-01,Agriculture,87.9,110.1,2018,2,Feb
2018-03-01,Agriculture,94.1,104.6,2018,3,Mar
2018-04-01,Agriculture,91.1,106.3,2018,4,Apr
2018-05-01,Agriculture,91.6,105.9,2018,5,May
2018-06-01,Agriculture,89.7,112.4,2018,6,Jun
2018-07-01,Agriculture,91.5,111.6,2018,7,Jul
2018-08-01,Agriculture,96.4,103.4,2018,8,Aug
2018-09-01,Agriculture,92.7,110.2,2018,9,Sep
2018-10-01,Agriculture,81.6,123.1,2018,10,Oct
2018-11-01,Agriculture,92.0,111.8,2018,11,Nov
2018-12-01,Agriculture,110.6,98.8,2018,12,Dec
2019-01-01,Agriculture,98.2,106.5,2019,1,Jan
2019-02-01,Agriculture,102.0,99.2,2019,2,Feb
2019-03-01,Agriculture,101.2,107.6,2019,3,Mar
2019-04-01,Agriculture,98.1,112.1,2019,4,Apr
2019-05-01,Agriculture,98.8,104.5,2019,5,May
2019-06-01,Agriculture,107.9,99.2,2019,6,Jun
2019-07-01,Agriculture,112.5,95.6,2019,7,Jul
2019-08-01,Agriculture,98.9,111.8,2019,8,Aug
2019-09-01,Agriculture,96.9,108.2,2019,9,Sep
2019-10-01,Agriculture,104.7,97.5,2019,10,Oct
2019-11-01,Agriculture,103.6,100.1,2019,11,Nov
2019-12-01,Agriculture,96.4,109.2,2019,12,Dec
2020-01-01,Agriculture,108.3,99.5,2020,1,Jan
2020-02-01,Agriculture,98.4,107.6,2020,2,Feb
2020-03-01,Agriculture,98.3,121.6,2020,3,Mar
2020-04-01,Agriculture,106.2,93.3,2020,4,Apr
2020-05-01,Agriculture,99.4,109.4,2020,5,May
2020-06-01,Agriculture,103.8,103.4,2020,6,Jun
2020-07-01,Agriculture,99.1,115.2,2020,7,Jul
2020-08-01,Agriculture,100.7,111.3,2020,8,Aug
2020-09-01,Agriculture,101.6,106.6,2020,9,Sep
2020-10-01,Agriculture,98.0,114.0,2020,10,Oct
2020-11-01,Agriculture,90.6,122.2,2020,11,Nov
2020-12-01,Agriculture,85.4,117.5,2020,12,Dec
2021-01-01,Agriculture,82.5,127.7,2021,1,Jan
2021-02-01,Agriculture,89.9,121.3,2021,2,Feb
