refDate,group,volumeIndex,yoyChange
2017-01-01,Agriculture,97.5,
2017-02-01,Agriculture,90.6,
2017-03-01,Agriculture,94.5,
2017-04-01,Agriculture,77.7,
2017-05-01,Agriculture,91.0,
2017-06-01,Agriculture,102.3,
2017-07-01,Agriculture,109.0,
2017-08-01,Agriculture,110.2,
2017-09-01,Agriculture,103.2,
2017-10-01,Agriculture,105.7,
2017-11-01,Agriculture,109.6,
2017-12-01,Agriculture,108.7,
2018-01-01,Agriculture,105.4,8.102564102564113
2018-02-01,Agriculture,110.1,21.52317880794703
2018-03-01,Agriculture,104.6,10.68783068783068
2018-04-01,Agriculture,106.3,36.80823680823679
2018-05-01,Agriculture,105.9,16.373626373626383
2018-06-01,Agriculture,112.4,9.872922776148595
2018-07-01,Agriculture,111.6,2.3853211009174258
2018-08-01,Agriculture,103.4,-6.17059891107078
2018-09-01,Agriculture,110.2,6.782945736434098
2018-10-01,Agriculture,123.1,16.461684011352883
2018-11-01,Agriculture,111.8,2.007299270072993
2018-12-01,Agriculture,98.8,-9.107635694572224
2019-01-01,Agriculture,106.5,1.0436432637571214
2019-02-01,Agriculture,99.2,-9.900090826521335
2019-03-01,Agriculture,107.6,2.8680688336520044
2019-04-01,Agriculture,112.1,5.456255879586069
2019-05-01,Agriculture,104.5,-1.3220018885741314
2019-06-01,Agriculture,99.2,-11.74377224199289
2019-07-01,Agriculture,95.6,-14.336917562724016
2019-08-01,Agriculture,111.8,8.123791102514488
2019-09-01,Agriculture,108.2,-1.814882032667875
2019-10-01,Agriculture,97.5,-20.796100731112908
2019-11-01,Agriculture,100.1,-10.465116279069775
2019-12-01,Agriculture,109.2,10.526315789473696
2020-01-01,Agriculture,99.5,-6.572769953051639
2020-02-01,Agriculture,107.6,8.467741935483852
2020-03-01,Agriculture,121.6,13.011152416356886
2020-04-01,Agriculture,93.3,-16.770740410347905
2020-05-01,Agriculture,109.4,4.688995215311009
2020-06-01,Agriculture,103.4,4.233870967741948
2020-07-01,Agriculture,115.2,20.502092050209207
2020-08-01,Agriculture,111.3,-0.4472271914132353
2020-09-01,Agriculture,106.6,-1.4787430683918745
2020-10-01,Agriculture,114.0,16.92307692307693
2020-11-01,Agriculture,122.2,22.077922077922096
2020-12-01,Agriculture,117.5,7.600732600732596
2021-01-01,Agriculture,127.7,28.34170854271356
2021-02-01,Agriculture,121.3,12.732342007434937
2021-03-01,Agriculture,128.1,5.345394736842102
2021-04-01,Agriculture,121.2,29.903536977491974
2021-05-01,Agriculture,119.0,8.775137111517362
2021-06-01,Agriculture,114.3,10.541586073500952
2021-07-01,Agriculture,118.4,2.77777777777779
2021-08-01,Agriculture,112.4,0.9883198562443907
2021-09-01,Agriculture,115.0,7.879924953095685
2021-10-01,Agriculture,125.0,9.649122807017552
2021-11-01,Agriculture,121.3,-0.7364975450081857
2021-12-01,Agriculture,119.4,1.6170212765957537
2022-01-01,Agriculture,114.3,-10.49334377447142
2022-02-01,Agriculture,127.1,4.78153338829348
2022-03-01,Agriculture,109.6,-14.441842310694774
2022-04-01,Agriculture,123.5,1.8976897689768846
2022-05-01,Agriculture,108.6,-8.73949579831933
2022-06-01,Agriculture,118.3,3.4995625546806686
2022-07-01,Agriculture,115.6,-2.3648648648648796
2022-08-01,Agriculture,116.7,3.825622775800719
2022-09-01,Agriculture,109.6,-4.695652173913045
2022-10-01,Agriculture,105.5,-15.600000000000003
