refDate,group,priceIndex,volumeIndex,year,month,quarter,monthSin,monthCos,covidDummy,postCovidDummy,lag1,lag3,lag6,lag12,priceLag1,priceLag3,priceLag6,rollMean3,rollMean6,rollMean12,rollStd3,rollStd6,change1,change3,change12,priceChange1,priceChange12,target_h3,target_h12,group_Agriculture,group_Clothing and Footwear,group_Furniture and Fixtures
2017-01-01,Agriculture,93.0,97.5,2017,1,1,0.49999999999999994,0.8660254037844387,0,0,,,,,,,,,,,,,,,,,,77.7,105.4,True,False,False
2017-02-01,Agriculture,106.5,90.6,2017,2,1,0.8660254037844386,0.5000000000000001,0,0,97.5,,,,93.0,,,,,,,,-0.0707692307692308,,,0.14516129032258074,,91.0,110.1,True,False,False
2017-03-01,Agriculture,105.0,94.5,2017,3,1,1.0,6.123233995736766e-17,0,0,90.6,,,,106.5,,,,,,,,0.04304635761589415,,,-0.014084507042253502,,102.3,104.6,True,False,False
2017-04-01,Agriculture,134.0,77.7,2017,4,2,0.8660254037844387,-0.4999999999999998,0,0,94.5,97.5,,,105.0,93.0,,94.2,,,3.4597687784012416,,-0.1777777777777777,-0.20307692307692304,,0.2761904761904761,,109.0,106.3,True,False,False
2017-05-01,Agriculture,113.9,91.0,2017,5,2,0.49999999999999994,-0.8660254037844387,0,0,77.7,90.6,,,134.0,106.5,,87.60000000000001,,,8.792610533851713,,0.1711711711711712,0.004415011037527616,,-0.1499999999999999,,110.2,105.9,True,False,False
2017-06-01,Agriculture,102.4,102.3,2017,6,2,1.2246467991473532e-16,-1.0,0,0,91.0,94.5,,,113.9,105.0,,87.73333333333333,,,8.863595959503877,,0.12417582417582418,0.08253968253968247,,-0.1009657594381036,,103.2,112.4,True,False,False
2017-07-01,Agriculture,94.3,109.0,2017,7,3,-0.4999999999999997,-0.8660254037844388,0,0,102.3,77.7,97.5,,102.4,134.0,93.0,90.33333333333333,92.26666666666667,,12.313542680046767,8.361977437584166,0.06549364613880737,0.40283140283140284,,-0.07910156250000011,,105.7,111.6,True,False,False
2017-08-01,Agriculture,93.5,110.2,2017,8,3,-0.8660254037844384,-0.5000000000000004,0,0,109.0,91.0,90.6,,94.3,113.9,106.5,100.76666666666667,94.18333333333334,,9.097435536091105,10.772078103442558,0.011009174311926717,0.21098901098901113,,-0.008483563096500446,,109.6,103.4,True,False,False
2017-09-01,Agriculture,94.8,103.2,2017,9,3,-1.0,-1.8369701987210297e-16,0,0,110.2,102.3,94.5,,93.5,102.4,105.0,107.16666666666667,97.44999999999999,,4.257150846908435,12.327651844532273,-0.06352087114337568,0.008797653958944274,,0.013903743315508033,,108.7,110.2,True,False,False
2017-10-01,Agriculture,94.1,105.7,2017,10,4,-0.8660254037844386,0.5000000000000001,0,0,103.2,109.0,77.7,,94.8,94.3,134.0,107.46666666666665,98.89999999999999,,3.7434387043643658,12.422560122615625,0.02422480620155043,-0.03027522935779814,,-0.007383966244725815,,105.4,123.1,True,False,False
2017-11-01,Agriculture,91.5,109.6,2017,11,4,-0.5000000000000004,0.8660254037844384,0,0,105.7,110.2,91.0,,94.1,93.5,113.9,106.36666666666667,103.56666666666668,,3.5472994422987707,6.895409100747149,0.036896877956480445,-0.005444646098003658,,-0.02763018065887346,,110.1,111.8,True,False,False
2017-12-01,Agriculture,89.9,108.7,2017,12,4,-2.4492935982947064e-16,1.0,0,0,109.6,103.2,102.3,,91.5,94.8,102.4,106.16666666666667,106.66666666666667,,3.2254198693089777,3.422085134339388,-0.008211678832116709,0.05329457364341095,,-0.017486338797814138,,104.6,98.8,True,False,False
2018-01-01,Agriculture,93.7,105.4,2018,1,1,0.49999999999999994,0.8660254037844387,0,0,108.7,105.7,109.0,97.5,89.9,94.1,94.3,108.0,107.73333333333333,100.0,2.042057785666165,2.712686245526129,-0.030358785648574083,-0.002838221381267658,0.08102564102564114,0.04226918798665169,0.007526881720430145,106.3,106.5,True,False,False
2018-02-01,Agriculture,87.9,110.1,2018,2,1,0.8660254037844386,0.5000000000000001,0,0,105.4,109.6,110.2,90.6,93.7,91.5,93.5,107.90000000000002,107.13333333333333,100.65833333333335,2.2113344387495535,2.7739262186775315,0.044592030360531165,0.0045620437956204185,0.2152317880794703,-0.06189967982924227,-0.17464788732394365,105.9,99.2,True,False,False
2018-03-01,Agriculture,94.1,104.6,2018,3,1,1.0,6.123233995736766e-17,0,0,110.1,108.7,103.2,94.5,87.9,89.9,94.8,108.06666666666666,107.11666666666667,102.28333333333335,2.413158373031725,2.752029554104864,-0.049954586739327844,-0.03771849126034965,0.1068783068783068,0.07053469852104644,-0.10380952380952391,112.4,107.6,True,False,False
2018-04-01,Agriculture,91.1,106.3,2018,4,2,0.8660254037844387,-0.4999999999999998,0,0,104.6,105.4,105.7,77.7,94.1,93.7,94.1,106.7,107.35000000000001,103.125,2.9715315916206966,2.3889328161335905,0.016252390057361454,0.008538899430740043,0.36808236808236794,-0.03188097768331566,-0.3201492537313433,111.6,112.1,True,False,False
2018-05-01,Agriculture,91.6,105.9,2018,5,2,0.49999999999999994,-0.8660254037844387,0,0,106.3,110.1,109.6,91.0,91.1,87.9,91.5,107.0,107.44999999999999,105.50833333333334,2.816025568065717,2.3175418011332547,-0.0037629350893696456,-0.038147138964577554,0.16373626373626382,0.005488474204171201,-0.1957857769973662,103.4,104.5,True,False,False
2018-06-01,Agriculture,89.7,112.4,2018,6,2,1.2246467991473532e-16,-1.0,0,0,105.9,104.6,108.7,102.3,91.6,94.1,89.9,105.60000000000001,106.83333333333333,106.75,0.8888194417314849,2.114395106565142,0.06137865911237017,0.0745697896749522,0.09872922776148596,-0.020742358078602474,-0.1240234375,110.2,99.2,True,False,False
2018-07-01,Agriculture,91.5,111.6,2018,7,3,-0.4999999999999997,-0.8660254037844388,0,0,112.4,106.3,105.4,109.0,89.7,91.1,93.7,108.2,107.45,107.59166666666668,3.6428011200173653,3.0846393630374327,-0.007117437722420017,0.049858889934148554,0.023853211009174258,0.02006688963210701,-0.02969247083775184,123.1,95.6,True,False,False
2018-08-01,Agriculture,96.4,103.4,2018,8,3,-0.8660254037844384,-0.5000000000000004,0,0,111.6,105.9,110.1,110.2,91.5,91.6,87.9,109.96666666666665,108.48333333333333,107.80833333333334,3.5444792753425687,3.2920611577956254,-0.07347670250896043,-0.023607176581680878,-0.06170598911070779,0.05355191256830616,0.031016042780748654,111.8,111.8,True,False,False
2018-09-01,Agriculture,92.7,110.2,2018,9,3,-1.0,-1.8369701987210297e-16,0,0,103.4,112.4,104.6,103.2,96.4,89.7,94.1,109.13333333333334,107.36666666666667,107.24166666666667,4.981298358192674,3.7398752207348607,0.06576402321083163,-0.019572953736654797,0.06782945736434098,-0.038381742738589186,-0.02215189873417711,98.8,108.2,True,False,False
2018-10-01,Agriculture,81.6,123.1,2018,10,4,-0.8660254037844386,0.5000000000000001,0,0,110.2,111.6,106.3,105.7,92.7,91.5,91.1,108.39999999999999,108.3,107.825,4.386342439892231,3.607769393960761,0.11705989110707793,0.10304659498207891,0.16461684011352884,-0.11974110032362473,-0.13283740701381508,106.5,97.5,True,False,False
2018-11-01,Agriculture,92.0,111.8,2018,11,4,-0.5000000000000004,0.8660254037844384,0,0,123.1,103.4,105.9,109.6,81.6,96.4,91.6,112.23333333333335,111.10000000000001,109.27499999999999,10.006164766449364,6.8275910832445215,-0.0917952883834281,0.08123791102514488,0.02007299270072993,0.12745098039215685,0.005464480874316946,99.2,100.1,True,False,False
2018-12-01,Agriculture,110.6,98.8,2018,12,4,-2.4492935982947064e-16,1.0,0,0,111.8,110.2,112.4,108.7,92.0,92.7,89.7,115.03333333333332,112.08333333333333,109.45833333333333,7.031595361888546,6.336060816206456,-0.11627906976744184,-0.10344827586206906,-0.09107635694572225,0.2021739130434781,0.23025583982202424,107.6,109.2,True,False,False
2019-01-01,Agriculture,98.2,106.5,2019,1,1,0.49999999999999994,0.8660254037844387,0,0,98.8,123.1,111.6,105.4,110.6,81.6,91.5,111.23333333333333,109.81666666666666,108.63333333333333,12.159906797888416,8.321638460463586,0.07793522267206487,-0.13484971567831028,0.010436432637571214,-0.11211573236889683,0.04802561366061897,112.1,99.5,True,False,False
2019-02-01,Agriculture,102.0,99.2,2019,2,1,0.8660254037844386,0.5000000000000001,0,0,106.5,111.8,103.4,110.1,98.2,92.0,96.4,105.7,108.96666666666668,108.72499999999998,6.536818798161698,8.363412381717568,-0.06854460093896708,-0.11270125223613592,-0.09900090826521335,0.0386965376782078,0.16040955631399312,104.5,107.6,True,False,False
