group,refDate,forecastDate,horizon,actual,naiveForecast,seasonalNaiveForecast
Agriculture,2024-01-01,2025-01-01,12-month,141.9,127.3,127.3
Agriculture,2024-02-01,2025-02-01,12-month,125.4,128.4,128.4
Agriculture,2024-03-01,2025-03-01,12-month,138.8,114.0,114.0
Agriculture,2024-04-01,2025-04-01,12-month,128.4,125.4,125.4
Agriculture,2024-05-01,2025-05-01,12-month,130.7,120.2,120.2
Agriculture,2024-06-01,2025-06-01,12-month,127.9,114.8,114.8
Agriculture,2024-07-01,2025-07-01,12-month,122.4,121.9,121.9
Agriculture,2024-08-01,2025-08-01,12-month,125.3,127.5,127.5
Agriculture,2024-09-01,2025-09-01,12-month,126.3,134.0,134.0
Agriculture,2024-10-01,2025-10-01,12-month,132.2,145.9,145.9
Agriculture,2024-11-01,2025-11-01,12-month,142.1,138.3,138.3
Clothing and Footwear,2024-01-01,2025-01-01,12-month,151.6,122.2,122.2
Clothing and Footwear,2024-02-01,2025-02-01,12-month,145.8,130.7,130.7
Clothing and Footwear,2024-03-01,2025-03-01,12-month,151.9,133.6,133.6
Clothing and Footwear,2024-04-01,2025-04-01,12-month,147.1,131.3,131.3
Clothing and Footwear,2024-05-01,2025-05-01,12-month,153.5,131.5,131.5
Clothing and Footwear,2024-06-01,2025-06-01,12-month,148.7,130.8,130.8
Clothing and Footwear,2024-07-01,2025-07-01,12-month,153.4,132.3,132.3
Clothing and Footwear,2024-08-01,2025-08-01,12-month,136.6,135.6,135.6
Clothing and Footwear,2024-09-01,2025-09-01,12-month,138.8,141.7,141.7
Clothing and Footwear,2024-10-01,2025-10-01,12-month,148.8,136.3,136.3
Clothing and Footwear,2024-11-01,2025-11-01,12-month,165.5,135.9,135.9
Furniture and Fixtures,2024-01-01,2025-01-01,12-month,99.8,91.0,91.0
Furniture and Fixtures,2024-02-01,2025-02-01,12-month,91.2,95.9,95.9
Furniture and Fixtures,2024-03-01,2025-03-01,12-month,95.9,95.8,95.8
Furniture and Fixtures,2024-04-01,2025-04-01,12-month,92.7,90.5,90.5
Furniture and Fixtures,2024-05-01,2025-05-01,12-month,96.3,88.5,88.5
Furniture and Fixtures,2024-06-01,2025-06-01,12-month,92.3,90.2,90.2
Furniture and Fixtures,2024-07-01,2025-07-01,12-month,92.6,91.0,91.0
Furniture and Fixtures,2024-08-01,2025-08-01,12-month,84.6,93.6,93.6
Furniture and Fixtures,2024-09-01,2025-09-01,12-month,82.1,93.2,93.2
Furniture and Fixtures,2024-10-01,2025-10-01,12-month,87.3,94.2,94.2
Furniture and Fixtures,2024-11-01,2025-11-01,12-month,88.4,86.0,86.0
