feature,coefficient
change12,49.566881920441354
covidDummy,9.425760226024517
postCovidDummy,7.551571771988627
monthCos,4.487929656323906
change3,3.582623588875774
rollMean12,0.7433366431653294
rollStd3,0.4562779601610689
month,0.3878539008239341
rollStd6,0.32544683382976625
lag12,0.26329719278139896
lag3,0.07552088008296287
lag6,-0.037380036169850375
rollMean6,-0.044282940199037245
rollMean3,-0.11365129156833569
lag1,-0.44176062597350946
monthSin,-2.714961845961712
quarter,-2.7922894989615816
change1,-55.69256168284361
