group,horizon,model,rmse,mae,r2,nObs
Agriculture,3-month,LR_NoPrice,12.904271681479907,10.203788077288205,-1.6483867102037855,20
Clothing and Footwear,3-month,LR_NoPrice,16.780325781374362,14.769472912892638,-2.2839576148164156,20
Furniture and Fixtures,3-month,LR_NoPrice,5.899065801278599,4.754636478735312,-1.1006391036897907,20
Agriculture,3-month,LR_WithPrice,13.759385444861467,11.078662589073463,-2.0110119396760533,20
Clothing and Footwear,3-month,LR_WithPrice,12.889714573733034,10.433761972235995,-0.937685850448905,20
Furniture and Fixtures,3-month,LR_WithPrice,4.4803619191608535,3.8368669411689966,-0.211744784567498,20
Agriculture,12-month,LR_NoPrice,13.062711970048968,11.294539006228337,-2.905121470278174,11
Clothing and Footwear,12-month,LR_NoPrice,34.650233035692644,33.23762735622315,-21.07988859246652,11
Furniture and Fixtures,12-month,LR_NoPrice,10.995388688227877,9.289213331640106,-3.8027601894449425,11
Agriculture,12-month,LR_WithPrice,15.774257360063393,14.77506625203509,-4.694632336563184,11
Clothing and Footwear,12-month,LR_WithPrice,25.35548644728399,23.101696413374796,-10.82302075961631,11
Furniture and Fixtures,12-month,LR_WithPrice,8.306359420664966,6.497586503576067,-1.7408872339399268,11
