horizon,model,priceVersion,rmse,mae,r2,nObs
12-month,Naive,Not Applicable,6.2505999712027664,5.154545454545456,,11
12-month,Seasonal Naive,Not Applicable,6.2505999712027664,5.154545454545456,,11
12-month,SARIMA,Not Applicable,8.974159615032969,7.528075310985319,0.784670442296707,36
12-month,Naive,Not Applicable,11.25962214770509,8.80909090909091,,11
12-month,Seasonal Naive,Not Applicable,11.25962214770509,8.80909090909091,,11
12-month,Linear Regression,With Price,17.895283317727287,14.791449722995319,0.4905590247814531,33
12-month,Naive,Not Applicable,18.99363529759855,16.872727272727268,,11
12-month,Seasonal Naive,Not Applicable,18.99363529759855,16.872727272727268,,11
12-month,Random Forest,With Price,19.670751209043228,15.656348526059363,0.384456701880447,33
12-month,Random Forest,No Price,20.7739202786147,17.57322239239949,0.3134792988680455,33
12-month,Linear Regression,No Price,22.30225448876919,17.940459898030532,0.20874903908722997,33
3-month,Naive,Not Applicable,5.676134247883853,4.845000000000001,,20
3-month,Seasonal Naive,Not Applicable,5.862806495186414,4.875000000000001,,20
3-month,Naive,Not Applicable,10.155195714509887,7.579999999999998,,20
3-month,Naive,Not Applicable,10.808954621053786,9.014999999999997,,20
3-month,Linear Regression,With Price,11.188373020525043,8.449763834159484,0.7678391453574249,60
3-month,SARIMA,Not Applicable,11.325504424298051,8.979377256116939,0.746426066103214,69
3-month,Linear Regression,No Price,12.687244753246153,9.909299156305385,0.7014687803424565,60
3-month,Seasonal Naive,Not Applicable,14.26877710247098,10.789999999999997,,20
3-month,Random Forest,With Price,18.005842504558682,13.875181478011122,0.3987127244787647,60
3-month,Random Forest,No Price,18.059006401519746,13.970793275076339,0.39515677121915815,60
3-month,Seasonal Naive,Not Applicable,22.933632507738498,20.105,,20
