group,horizon,rmseNoPrice,rmseWithPrice,rmseImprovement,maeNoPrice,maeWithPrice,maeImprovement,priceHelpedRmse,model
Agriculture,12-month,13.062711970048968,15.774257360063393,-2.7115453900144253,11.294539006228337,14.77506625203509,-3.480527245806753,No,LinearRegression
Agriculture,3-month,12.904271681479907,13.759385444861467,-0.85511376338156,10.203788077288205,11.078662589073463,-0.8748745117852579,No,LinearRegression
Clothing and Footwear,12-month,34.650233035692644,25.35548644728399,9.294746588408653,33.23762735622315,23.101696413374796,10.135930942848354,Yes,LinearRegression
Clothing and Footwear,3-month,16.780325781374362,12.889714573733034,3.890611207641328,14.769472912892638,10.433761972235995,4.335710940656643,Yes,LinearRegression
Furniture and Fixtures,12-month,10.995388688227877,8.306359420664966,2.68902926756291,9.289213331640106,6.497586503576067,2.7916268280640386,Yes,LinearRegression
Furniture and Fixtures,3-month,5.899065801278599,4.4803619191608535,1.4187038821177458,4.754636478735312,3.8368669411689966,0.9177695375663157,Yes,LinearRegression
Agriculture,12-month,10.287783145581525,10.496873540265412,-0.20909039468388713,8.557522074517136,8.923788939276609,-0.36626686475947245,No,RandomForest
Agriculture,3-month,15.32139722894697,16.264805477449837,-0.9434082485028661,13.339056946372347,14.045455213572836,-0.7063982672004894,No,RandomForest
Clothing and Footwear,12-month,31.399356709879427,31.224101053408997,0.17525565647042995,30.663313543410734,30.41878349540784,0.24453004800289335,Yes,RandomForest
Clothing and Footwear,3-month,26.81680168815766,26.173522127962467,0.6432795601951931,24.83376193448997,24.111527877263345,0.7222340572266255,Yes,RandomForest
Furniture and Fixtures,12-month,14.24462029616638,8.699799921285887,5.5448203748804925,13.4988315592706,7.626473143493637,5.872358415776963,Yes,RandomForest
Furniture and Fixtures,3-month,4.949451565702423,4.7993681974498665,0.15008336825255686,3.739560944366693,3.4685613431971776,0.27099960116951527,Yes,RandomForest
