group,horizon,model,meanError,meanAbsError,maxAbsError,stdError,nObs
Agriculture,12-month,RF_NoPrice,8.55752207451714,8.55752207451714,19.112476946201852,5.988992218573142,11
Agriculture,12-month,RF_WithPrice,8.860901433852748,8.923788939276617,18.530689983164933,5.902173996914832,11
Agriculture,3-month,RF_NoPrice,13.107163123924158,13.339056946372347,30.96792590911248,8.140056115804676,20
Agriculture,3-month,RF_WithPrice,13.738332811881198,14.04545521357284,34.453518438075946,8.93261962927659,20
Clothing and Footwear,12-month,RF_NoPrice,30.663313543410734,30.663313543410734,45.81235376382875,7.088644776401731,11
Clothing and Footwear,12-month,RF_WithPrice,30.418783495407833,30.418783495407833,46.06438104689441,7.389608039558018,11
Clothing and Footwear,3-month,RF_NoPrice,24.83376193448997,24.83376193448997,47.534504082972774,10.383444361251852,20
Clothing and Footwear,3-month,RF_WithPrice,24.111527877263345,24.111527877263345,47.792682166744,10.447235041256441,20
Furniture and Fixtures,12-month,RF_NoPrice,-13.4988315592706,13.4988315592706,20.62009996880441,4.770726287268497,11
Furniture and Fixtures,12-month,RF_WithPrice,-7.203914055352731,7.62647314349364,14.373161387656381,5.115579639576251,11
Furniture and Fixtures,3-month,RF_NoPrice,-0.35343558568459554,3.739560944366695,11.03565180867841,5.065066538556655,20
Furniture and Fixtures,3-month,RF_WithPrice,-0.904575950513393,3.4685613431971776,11.122803504571522,4.835796069493899,20
