feature,importance,model,horizon
rollMean12,0.17588470017481628,RF_NoPrice,12-month
lag12,0.09741838155328783,RF_NoPrice,12-month
change12,0.09450096217555926,RF_NoPrice,12-month
rollStd6,0.0809460371984877,RF_NoPrice,12-month
rollMean6,0.07976738117390095,RF_NoPrice,12-month
rollMean3,0.061497788818008096,RF_NoPrice,12-month
lag3,0.05697278772042354,RF_NoPrice,12-month
lag6,0.056941949169522464,RF_NoPrice,12-month
rollStd3,0.05674669255052121,RF_NoPrice,12-month
lag1,0.054991246273644746,RF_NoPrice,12-month
change1,0.0443105161033582,RF_NoPrice,12-month
change3,0.037494989921359634,RF_NoPrice,12-month
covidDummy,0.021318847422862955,RF_NoPrice,12-month
monthCos,0.021242564857373646,RF_NoPrice,12-month
month,0.01948756775625897,RF_NoPrice,12-month
postCovidDummy,0.01838721823639691,RF_NoPrice,12-month
monthSin,0.012692696997936709,RF_NoPrice,12-month
quarter,0.009397671896280985,RF_NoPrice,12-month
