feature,importance,model,horizon
rollMean12,0.11732166216231248,RF_WithPrice,12-month
lag12,0.07344506403960845,RF_WithPrice,12-month
rollStd6,0.07246799181717571,RF_WithPrice,12-month
change12,0.06116245224960306,RF_WithPrice,12-month
priceChange12,0.05879250881058097,RF_WithPrice,12-month
rollMean6,0.05829428163338624,RF_WithPrice,12-month
lag3,0.05582219741345699,RF_WithPrice,12-month
priceChange1,0.051204767183863895,RF_WithPrice,12-month
priceIndex,0.046363561397378926,RF_WithPrice,12-month
lag6,0.04503676216498621,RF_WithPrice,12-month
rollStd3,0.041785334734344586,RF_WithPrice,12-month
rollMean3,0.039860806196865925,RF_WithPrice,12-month
priceLag6,0.03933614535198149,RF_WithPrice,12-month
lag1,0.037949127847326694,RF_WithPrice,12-month
priceLag1,0.037647871535420395,RF_WithPrice,12-month
priceLag3,0.035082749154085865,RF_WithPrice,12-month
change3,0.028232989191865943,RF_WithPrice,12-month
change1,0.025014031813950725,RF_WithPrice,12-month
monthCos,0.01951785593567766,RF_WithPrice,12-month
month,0.014243480954219293,RF_WithPrice,12-month
postCovidDummy,0.013018422505310004,RF_WithPrice,12-month
covidDummy,0.012454533637948774,RF_WithPrice,12-month
monthSin,0.010177716041702844,RF_WithPrice,12-month
quarter,0.005767686226946956,RF_WithPrice,12-month
