group,horizon,model,rmse,mae,r2,nObs
Agriculture,3-month,RF_NoPrice,15.32139722894697,13.339056946372347,-2.733456958163497,20
Clothing and Footwear,3-month,RF_NoPrice,26.816801688157653,24.83376193448997,-7.387078880036663,20
Furniture and Fixtures,3-month,RF_NoPrice,4.949451565702425,3.739560944366695,-0.4787648604201509,20
Agriculture,3-month,RF_WithPrice,16.264805477449837,14.045455213572836,-3.2073840015408415,20
Clothing and Footwear,3-month,RF_WithPrice,26.173522127962467,24.111527877263345,-6.989527658328364,20
Furniture and Fixtures,3-month,RF_WithPrice,4.79936819744987,3.4685613431971776,-0.39044272238110844,20
Agriculture,12-month,RF_NoPrice,10.287783145581532,8.55752207451714,-1.422208077795367,11
Clothing and Footwear,12-month,RF_NoPrice,31.399356709879427,30.663313543410734,-17.131179584399145,11
Furniture and Fixtures,12-month,RF_NoPrice,14.24462029616638,13.4988315592706,-7.060676349590125,11
Agriculture,12-month,RF_WithPrice,10.496873540265419,8.923788939276617,-1.5216672369652997,11
Clothing and Footwear,12-month,RF_WithPrice,31.224101053408994,30.41878349540784,-16.929345901102664,11
Furniture and Fixtures,12-month,RF_WithPrice,8.69979992128589,7.62647314349364,-2.00668727112483,11
