group,horizon,model,priceVersion,forecastDate,actual,predicted,error,absError
Agriculture,12-month,RandomForest,No Price,2025-11-01,142.1,122.98752305379814,19.112476946201852,19.112476946201852
Agriculture,12-month,RandomForest,No Price,2025-01-01,141.9,124.66058291245795,17.23941708754205,17.23941708754205
Agriculture,12-month,RandomForest,No Price,2025-10-01,132.2,120.25281428571431,11.94718571428568,11.94718571428568
Agriculture,12-month,RandomForest,No Price,2025-09-01,126.3,114.90849721868547,11.391502781314529,11.391502781314529
Agriculture,12-month,RandomForest,No Price,2025-03-01,138.8,128.56552947330445,10.23447052669556,10.23447052669556
Clothing and Footwear,12-month,SARIMA,Not Applicable,2024-09-01,141.7,128.296060324246,13.403939675753975,13.403939675753975
Clothing and Footwear,12-month,SARIMA,Not Applicable,2024-07-01,132.3,119.24321122506072,13.056788774939292,13.056788774939292
Clothing and Footwear,12-month,SARIMA,Not Applicable,2024-12-01,141.1,129.58607811615934,11.513921883840652,11.513921883840652
Clothing and Footwear,12-month,SARIMA,Not Applicable,2024-06-01,130.8,120.8603085896831,9.939691410316911,9.939691410316911
Clothing and Footwear,12-month,SARIMA,Not Applicable,2024-03-01,133.6,127.04246322470513,6.557536775294864,6.557536775294864
Furniture and Fixtures,12-month,Naive,Not Applicable,2025-09-01,82.1,93.2,-11.100000000000009,11.100000000000009
Furniture and Fixtures,12-month,Naive,Not Applicable,2025-08-01,84.6,93.6,-9.0,9.0
Furniture and Fixtures,12-month,Naive,Not Applicable,2025-01-01,99.8,91.0,8.799999999999997,8.799999999999997
Furniture and Fixtures,12-month,Naive,Not Applicable,2025-05-01,96.3,88.5,7.799999999999997,7.799999999999997
Furniture and Fixtures,12-month,Naive,Not Applicable,2025-10-01,87.3,94.2,-6.900000000000006,6.900000000000006
Agriculture,3-month,SARIMA,Not Applicable,2024-11-01,138.3,115.54783965067021,22.7521603493298,22.7521603493298
Agriculture,3-month,SARIMA,Not Applicable,2024-10-01,145.9,128.12654952291618,17.773450477083827,17.773450477083827
Agriculture,3-month,SARIMA,Not Applicable,2024-12-01,127.2,113.13750877635434,14.062491223645665,14.062491223645665
Agriculture,3-month,SARIMA,Not Applicable,2025-04-01,128.4,115.2798576562728,13.12014234372721,13.12014234372721
Agriculture,3-month,SARIMA,Not Applicable,2024-09-01,134.0,121.18825877708102,12.811741222918982,12.811741222918982
Clothing and Footwear,3-month,Naive,Not Applicable,2025-11-01,165.5,136.6,28.900000000000006,28.900000000000006
Clothing and Footwear,3-month,Naive,Not Applicable,2025-08-01,136.6,153.5,-16.900000000000006,16.900000000000006
Clothing and Footwear,3-month,Naive,Not Applicable,2025-01-01,151.6,136.3,15.299999999999983,15.299999999999983
Clothing and Footwear,3-month,Naive,Not Applicable,2024-09-01,141.7,130.8,10.899999999999977,10.899999999999977
Clothing and Footwear,3-month,Naive,Not Applicable,2025-03-01,151.9,141.1,10.800000000000011,10.800000000000011
Furniture and Fixtures,3-month,LinearRegression,With Price,2025-05-01,96.3,87.48020474392933,8.819795256070663,8.819795256070663
Furniture and Fixtures,3-month,LinearRegression,With Price,2025-01-01,99.8,91.085723937692,8.714276062308002,8.714276062308002
Furniture and Fixtures,3-month,LinearRegression,With Price,2024-05-01,88.5,94.78242352683574,-6.282423526835743,6.282423526835743
Furniture and Fixtures,3-month,LinearRegression,With Price,2025-09-01,82.1,87.98734179364192,-5.887341793641923,5.887341793641923
Furniture and Fixtures,3-month,LinearRegression,With Price,2025-08-01,84.6,90.4519516823014,-5.851951682301404,5.851951682301404
